,Property ID,Locality data,Price,Property type,Property subtype,Type of sale,Number of bedrooms,Living area m²,Equipped kitchen,Furnished,Open fire,Terrace surface m²,Garden area m²,Number of facades,Swimming pool,Building condition
98, 20235926,9700,459000,house,mansion,None,5,280,0,0,1,None,None,None,0,Good
99, 20236913,9000,775000,house,house,None,5,210,0,0,1,None,85,3,0,As new
100, 20228872,3090,495000,house,villa,None,4,491,0,0,1,61,489,4,0,To renovate
101, 20226966,9890,575000,house,house,None,2,375,0,0,1,75,480,4,0,Good
102, 20232647,9620,310000,house,house,None,3,276,0,0,1,18,None,None,0,Good
103, 20235250,9180,345000,house,house,None,4,165,0,0,1,60,100,3,0,Good
104, 20232794,8470,385000,house,house,None,4,151,0,0,1,40,242,None,0,Good
105, 20233882,1410,395000,house,house,None,3,101,0,0,1,10,100,3,0,Good
106, 20231408,1070,425000,house,house,None,3,155,0,0,1,None,65,3,0,To be done up
107, 20226752,4100,79000,house,house,None,1,70,0,0,1,None,55,2,0,Good
108, 20226641,2820,379000,house,house,None,3,139,1,0,1,14,145,3,0,Good
109, 20240055,9660,160000,house,house,None,3,138,0,0,1,None,None,None,0,To renovate
110, 20240763,9900,299000,house,house,None,4,174,1,0,1,8,75,3,0,Good
111, 20228280,1831,449000,house,house,None,3,230,0,0,1,None,None,3,0,To be done up
112, 20241514,2650,525000,house,house,None,4,262,1,0,1,None,170,3,0,Good
113, 20230247,9000,299000,house,house,None,4,135,1,0,1,7,None,2,0,Good
114, 20229990,9700,399000,house,house,None,3,216,0,1,1,None,None,None,0,Good
115, 20228892,9630,549950,house,villa,None,5,231,0,0,1,None,None,None,0,Good
116, 20237966,9041,330000,house,house,None,3,222,0,0,1,None,None,2,0,To renovate
117, 20235307,4100,339000,house,house,None,3,144,0,0,1,27,102,3,0,Good
118, 20241001,9060,369000,house,house,None,3,149,1,0,1,46,24,None,0,Good
119, 20241609,2650,384950,house,house,None,3,160,0,0,1,None,70,2,0,To be done up
120, 20241825,1420,415000,house,house,None,5,201,1,0,1,30,143,2,0,Just renovated
121, 20231046,1300,225000,house,house,None,2,110,0,0,1,8,None,3,0,To renovate
